SQR No,Title,MachineType,S/N,User Number,Customer,FAB,Parts Delivery,Completed date
,,,,,,,,
12038,A,MchineA,3109005,6L15F00,M社,F16,未,12/17/13
13050,B,MchineA,3109005,6L15F00,M社,F16,未,2/7/14
13051,C,MchineA,3109005,6L15F00,M社,F16,送付済,6/11/14
14003,D,MchineA,3109005,6L15F00,M社,F16,未,6/11/14
14008,E,MchineA,3109005,6L15F00,M社,F16,未,6/12/14
14009,F,MchineA,3109005,6L15F00,M社,F16,送付済,6/12/14
14011,G,MchineA,3109005,6L15F00,M社,F16,送付済,6/12/14
14015,H,MchineA,3109005,6L15F00,M社,F16,未,6/11/14
14018,I,MchineA,3109005,6L15F00,M社,F16,送付済,4/17/15
14023,J,MchineA,3109005,6L15F00,M社,F16,送付済,4/17/15
14028,K,MchineA,3109005,6L15F00,M社,F16,送付済,10/16/15
14029,L,MchineA,4099019,K001,MI社,F1A,送付済,済み
14032,M,MchineA,3109005,6L15F00,M社,F16,送付済,4/17/15
14032,M,MchineA,4099019,K001,MI社,F1A,送付済,10/31/14
14037,N,MchineA,3109005,6L15F00,M社,F16,未,4/17/15
14037,N,MchineA,4099019,K001,MI社,F1A,未,5/17/17
14039,O,MchineA,3109005,6L15F00,M社,F16,送付済,4/17/15
14039,O,MchineA,4099019,K001,MI社,F1A,未,3/12/15
14041,P,MchineA,3109005,6L15F00,M社,F16,未,
14041,P,MchineA,4099019,K001,MI社,F1A,未,
14045,Q,MchineA,3109005,6L15F00,M社,F16,未,4/17/15
15001,R,MchineA,3109005,6L15F00,M社,F16,送付済,10/16/15
15001,R,MchineA,4099019,K001,MI社,F1A,送付済,5/13/15
15006,S ,MchineA,3109005,6L15F00,M社,F16,送付済,4/17/15
15006,S,MchineA,4099019,K001,MI社,F1A,送付済,
15010,T,MchineA,3109005,6L15F00,M社,F16,未,9/9/17
15010,T,MchineA,4099019,K001,MI社,F1A,未,
15012,U,MchineA,3109005,6L15F00,M社,F16,送付済,
15013,V,MchineA,3109005,6L15F00,M社,F16,送付済,10/16/15
15013,V,MchineA,4099019,K001,MI社,F1A,送付済,5/17/17
15018,W,MchineA,3109005,6L15F00,M社,F16,未,
15018,W,MchineA,4099019,K001,MI社,F1A,未,5/2/18
15022,X,MchineA,3109005,6L15F00,M社,F16,送付済,10/16/15
15022,X,MchineA,4099019,K001,MI社,F1A,送付済,10/14/15
15022,X,MchineA,5079033,K002,MI社,F1A,送付済,10/22/15
15023,Y,MchineA,3109005,6L15F00,M社,F16,送付済,10/16/15
15023,Y,MchineA,4099019,K001,MI社,F1A,送付済,10/14/15
15023,Y,MchineA,5079033,K002,MI社,F1A,送付済,9/1/15
15028,Z,MchineA,3109005,6L15F00,M社,F16,送付済,9/5/17
15028,Z,MchineA,4099019,K001,MI社,F1A,送付済,
15028,Z,MchineA,5079033,K002,MI社,F1A,送付済,
15028,Z,MchineA,6019046,6L45H00,M社,F16,送付済,
15028,Z,MchineA,6029051,6L45I00,M社,F16,送付済,
16001,AA,MchineA,3109005,6L15F00,M社,F16,送付済,済み
16001,AA,MchineA,4099019,K001,MI社,F1A,送付済,済み
16001,AA,MchineA,5079033,K002,MI社,F1A,送付済,済み
