SQR No,Title,MachineType,S/N,User Number,Customer,FAB,Parts Delivery,Completed date
11007,A,MchineB,1081203,K11,A社,6,未,
11007,A,MchineB,2011205,520-01,A社,12,未,
11009,B,MchineB,1081203,K11,A社,6,未,2/8/13
12007,C,MchineB,1081203,K11,A社,6,未,済み
12007,C,MchineB,2011205,520-01,A社,12,未,済み
12007,C,MchineB,2031206,520-02,A社,12,未,済み
12007,C,MchineB,2041207,740-04,A社,7,未,済み
12018,D,MchineB,2011205,520-01,A社,12,未,9/7/12
12018,D,MchineB,2031206,520-02,A社,12,未,2/18/13
12018,D,MchineB,2041207,740-04,A社,7,未,2/17/13
12036,E,MchineB,1081203,K11,A社,6,未,12/14/12
12037,F,MchineB,1081203,K11,A社,6,送付済,9/16/13
12037,F,MchineB,2011205,520-01,A社,12,送付済,1/4/18
12037,F,MchineB,2031206,520-02,A社,12,送付済,1/3/18
12037,F,MchineB,2041207,740-04,A社,7,送付済,20170919
12040,G,MchineB,1081203,K11,A社,6,未,
12040,G,MchineB,2011205,520-01,A社,12,未,1/11/16
12040,G,MchineB,2031206,520-02,A社,12,未,10/13/15
12040,G,MchineB,2041207,740-04,A社,7,未,9/11/15
12044,H,MchineB,2011205,520-01,A社,12,未,
12044,H,MchineB,2031206,520-02,A社,12,未,
12044,H,MchineB,2041207,740-04,A社,7,未,
13008,I,MchineB,2011205,520-01,A社,12,未,済み
13008,I,MchineB,2031206,520-02,A社,12,未,済み
13008,I,MchineB,2041207,740-04,A社,7,未,済み
13021,J,MchineB,1081203,K11,A社,6,未,
13021,J,MchineB,2011205,520-01,A社,12,未,1/4/18
13021,J,MchineB,2031206,520-02,A社,12,未,20180103
13021,J,MchineB,2041207,740-04,A社,7,未,20171020
13022,K,MchineB,1081203,K11,A社,6,未,12/18/13
13022,K,MchineB,2011205,520-01,A社,12,未,3/19/14
13022,K,MchineB,2031206,520-02,A社,12,未,3/26/14
13022,K,MchineB,2041207,740-04,A社,7,未,10/30/13
13022,K,MchineB,3121216,GN9,T社,7,未,
13028,L,MchineB,1081203,K11,A社,6,未,
13033,M,MchineB,1081203,K11,A社,6,未,9/16/13
13033,M,MchineB,2011205,520-01,A社,12,未,3/27/14
13033,M,MchineB,2031206,520-02,A社,12,未,3/26/14
