Div,kind,PARTS NO,Size,ENG_NAME,CURR_INV,miniAmount,location,JP stocks
BP,PARTS,0160-01234,000,MINIATURE GAUGE MG-2,6,10,神岡,0
BP,PARTS,0161-12857,000,CPU BOARD,3,1,神岡,0
BP,PARTS,0161-12865,000,ANALOG BOARD,3,1,神岡,0
BP,PARTS,0161-42933,000,ELECTOMETER_2,1,1,神岡,0
AY,PARTS,4100-0512,000,THP CYLIN,28,20,神岡,0
AY,PARTS,4100-0513,000,THP BASEPLATE,28,20,神岡,0
AY,PARTS,4100-1338,000,THP CRUCIBLE,28,20,神岡,0
BP,PARTS,4-370041,000,INSULATOR-3,34,1,神岡,0
BP,PARTS,89-3360,000,HELEN FILAMENT MAINTANANCE KIT,0,3,神岡,0
BV,PARTS,BD3-3369-000,000,SPRING,1,1,神岡,46
BV,PARTS,BD4-6193-000,000,FLAT SPRING,2,2,神岡,25
BW,PARTS,BD6-1116-000,000,VACUUM PAD UNIT,64,50,神岡,0
BW,PARTS,BD8-4714-000,000,"BOLT,ADJUSTING,SUS",5,2,神岡,3
BW,PARTS,BD8-6179-000,000,"SHEET,TEFLONR",2,3,神岡,0
BV,PARTS,BE3-6084-000,000,"BRACKET, CYLINDER, AL",2,2,神岡,9
BV,PARTS,BE4-7619-000,000,"SHAFT,S",0,1,神岡,3
BW,PARTS,BE9-3722-000,000,"PLATE,POM",18,4,神岡,11
BV,PARTS,BF6-8187-000,000,GEAR BOX,1,1,神岡,2
BV,PARTS,BF6-8507-000,000,TUBE ASS'Y(X16),2,2,神岡,5
BV,PARTS,BF6-8510-000,000,CABLE ASS'Y(X12),1,1,神岡,5
BV,PARTS,BF7-2998-000,000,"GEAR BOX UNIT, 2ND-COND'R ZOOM",1,1,神岡,4
BW,PARTS,BF7-6507-000,000,"LIFT BAR UNIT,2",1,1,神岡,0
BW,PARTS,BF7-6510-000,000,"LIFT BAR UNIT,5",4,1,神岡,0
BW,PARTS,BF7-6511-000,000,"LIFT BAR UNIT,6",4,1,神岡,2
BW,PARTS,BF7-6721-000,000,"BALL SCREW UNIT,ML-Z",5,5,神岡,0
BW,PARTS,BG3-6060-000,000,PCB ASS'Y CONNECTION,2,2,神岡,2
BV,PARTS,BG3-7948-000,000,SLIDE UNI(Z).SCH(TYPE9),0,2,神岡,0
BV,PARTS,BG5-0648-000,000,LASER HEAD,1,2,神岡,0
BV,PARTS,BG5-0856-000,000,"SWITCHING UNIT,MIRROR",2,2,神岡,1
BV,PARTS,BG5-0868-000,000,"MOTOR UNIT, DC 12W",3,2,神岡,4
BV,PARTS,BG5-1160-000,000,"MOTOR UNIT, DC 12W",3,2,神岡,2
BV,PARTS,BG5-1163-000,000,"MOTOR UNIT,DC 10W UNDER",5,2,神岡,14
BV,PARTS,BG5-1164-000,000,"MOTOR UNIT,DC 10W UNDER",5,2,神岡,13
BV,PARTS,BG5-1165-000,000,"MOTOR UNIT, DC 14.4W",3,2,神岡,11
BV,PARTS,BG5-3955-Z00,000,"LASER HEAD, 7702",3,3,神岡,0
BV,PARTS,BG5-4995-000,000,"CABLE ASS'Y, SH-3",2,2,神岡,4
BV,PARTS,BG5-5001-000,000,"CABLE ASS'Y, RH-3",2,2,神岡,7
